Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,1,1,1,27,4,3.54,1,3,Joint,HighEffort,1,fishy_clam
11,10,1,2,27,4,4.05,1,3,Joint,HighEffort,1,well_orca
11,3,2,1,27,5,6.52,1,3,Joint,HighEffort,1,coy_kite
11,12,2,2,27,5,1.23,1,3,Joint,HighEffort,1,regal_asp
11,5,3,1,27,6,4.5,1,3,Joint,HighEffort,1,taut_geese
11,2,3,2,27,6,1.78,1,3,Joint,HighEffort,1,nerdy_joey
11,7,4,1,27,6,4.73,1,3,Joint,HighEffort,1,happy_lark
11,4,4,2,27,6,2.2,1,3,Joint,HighEffort,1,scary_pony
11,9,5,1,27,3,5.56,1,3,Joint,HighEffort,0,wavy_coypu
11,6,5,2,27,6,16.4,1,3,Joint,HighEffort,0,oozy_skink
11,11,6,1,27,6,2.95,1,3,Joint,HighEffort,1,cute_yapok
11,8,6,2,27,6,1.49,1,3,Joint,HighEffort,1,loopy_cub
11,1,1,1,28,5,3.27,1,4,SecondMover,LowEffort,1,fishy_clam
11,8,1,2,28,5,1.64,1,4,SecondMover,LowEffort,1,loopy_cub
11,3,2,1,28,3,4.41,1,4,SecondMover,LowEffort,1,coy_kite
11,10,2,2,28,3,3.59,1,4,SecondMover,LowEffort,1,well_orca
11,5,3,1,28,1,3.03,1,4,SecondMover,LowEffort,0,taut_geese
11,12,3,2,28,5,5.25,1,4,SecondMover,LowEffort,0,regal_asp
11,7,4,1,28,2,4.2,1,4,SecondMover,LowEffort,0,happy_lark
11,2,4,2,28,5,3.27,1,4,SecondMover,LowEffort,0,nerdy_joey
11,9,5,1,28,4,1.62,1,4,SecondMover,LowEffort,1,wavy_coypu
11,4,5,2,28,4,6.33,1,4,SecondMover,LowEffort,1,scary_pony
11,11,6,1,28,6,4.46,1,4,SecondMover,LowEffort,0,cute_yapok
11,6,6,2,28,4,5.84,1,4,SecondMover,LowEffort,0,oozy_skink
11,1,1,1,29,1,3.27,1,4,SecondMover,LowEffort,0,fishy_clam
11,8,1,2,29,4,1.65,1,4,SecondMover,LowEffort,0,loopy_cub
11,3,2,1,29,5,1.92,1,4,SecondMover,LowEffort,1,coy_kite
