date,group,subject,team,label,response,comment
2018_6_17_20_54_36,3,4,2,roll105,2,actual_number: 8; reaction_time: 2.36
2018_6_17_20_54_40,3,4,2,roll106,2,actual_number: 8; reaction_time: 1.76
2018_6_17_20_54_46,3,4,2,roll107,3,actual_number: 8; reaction_time: 1.84
2018_6_17_20_54_50,3,4,2,roll108,3,actual_number: 8; reaction_time: 1.94
2018_6_17_20_54_54,3,4,2,roll109,3,actual_number: 8; reaction_time: 1.55
2018_6_17_20_55_0,3,4,2,roll110,4,actual_number: 8; reaction_time: 1.48
2018_6_17_20_55_4,3,4,2,roll111,4,actual_number: 8; reaction_time: 2.17
2018_6_17_20_55_8,3,4,2,roll112,4,actual_number: 8; reaction_time: 1.75
2018_6_17_20_55_15,3,4,2,roll113,5,actual_number: 8; reaction_time: 2.74
2018_6_17_20_55_19,3,4,2,roll114,5,actual_number: 8; reaction_time: 1.5
2018_6_17_20_55_23,3,4,2,roll115,5,actual_number: 8; reaction_time: 1.56
2018_6_17_20_55_29,3,4,2,roll116,5,actual_number: 8; reaction_time: 1.79
2018_6_17_20_55_33,3,4,2,roll117,5,actual_number: 8; reaction_time: 1.8
2018_6_17_20_55_37,3,4,2,roll118,5,actual_number: 8; reaction_time: 1.84
2018_6_17_20_56_1,3,4,2,Q1,d,
2018_6_17_20_56_1,3,4,2,Q2,d,
2018_6_17_20_56_1,3,4,2,Q3,b,
2018_6_17_21_45_51,3,1,1,roll201,1,actual_number: 9; reaction_time: 3.55
2018_6_17_21_45_55,3,1,1,roll202,2,actual_number: 9; reaction_time: 1.77
2018_6_17_21_46_0,3,1,1,roll203,3,actual_number: 9; reaction_time: 2.05
2018_6_17_21_46_7,3,1,1,roll204,4,actual_number: 9; reaction_time: 2.49
2018_6_17_21_46_12,3,1,1,roll205,5,actual_number: 9; reaction_time: 2.71
2018_6_17_21_46_16,3,1,1,roll206,6,actual_number: 9; reaction_time: 1.84
2018_6_17_21_46_26,3,1,1,roll207,1,actual_number: 9; reaction_time: 1.63
2018_6_17_21_46_30,3,1,1,roll208,2,actual_number: 9; reaction_time: 2.31
2018_6_17_21_46_34,3,1,1,roll209,3,actual_number: 9; reaction_time: 1.66
