Date,Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT
2019_3_4_11_54_34,11,6,1,2,39,3,3.99
2019_3_4_11_54_38,11,10,3,2,39,5,6.71
2019_3_4_11_54_43,11,4,6,2,38,6,24.3
2019_3_4_11_54_51,11,9,5,1,40,2,1.58
2019_3_4_11_54_58,11,3,2,1,40,6,2.71
2019_3_4_11_54_58,11,11,6,1,39,6,2.99
2019_3_4_11_55_1,11,2,5,2,40,2,2.5
2019_3_4_11_55_10,11,8,2,2,40,6,2.82
2019_3_4_11_55_14,11,4,6,2,39,6,6.6
2019_3_4_11_55_15,11,1,1,1,40,4,2.92
